sample_id,experiment_id,flowrate,T_set,TOP_fraction,oleylamine_fraction,ODE_extra_fraction,r0_sphere,sigma_sphere,I0_sphere,I0_fraction_sphere,disordered_flag,crystalline_flag,dilute_sphere_flag
RxnB_20190329_1554026495,RxnB_20190329,48.8326245146368,299.2867573834853,0.004672441891567698,0.24402951236047007,0.19105086909399738,32.47810413877056,0.08817321891406238,68.12111064550594,0.40996507210822203,True,False,True
RxnB_20190329_1554035356,RxnB_20190329,92.49955547181725,288.25288040064765,0.012036151490273206,0.24791436550752038,0.1877407411711985,25.631354290147684,0.05612645258196636,52.349267435379765,0.993859703674001,False,False,True
RxnB_20190329_1554044258,RxnB_20190329,89.37333579689114,252.00550456790035,0.004680372530730589,0.03817452666049125,0.14623078268744294,18.08846253008656,0.13660388073331897,99.84507632964805,1.0,False,False,True
RxnB_20190329_1554049356,RxnB_20190329,36.38724656991336,222.11721382881427,0.28204275535053647,0.28823215941274616,0.2875730142883724,,,,,False,False,False
RxnB_20190329_1554054259,RxnB_20190329,30.97091431519394,285.2508497812997,0.04800610449574945,0.07458735556823594,0.1250740551592744,25.620754170565295,0.12047845427140524,23.647018005392486,0.8536558452847284,True,False,True
RxnB_20190329_1554057588,RxnB_20190329,79.31210895826771,301.15204693804145,0.10778781784341407,0.19040311235284796,0.005260587233940076,27.772973933153803,0.13117256079704276,187.114153356527,0.7844115758705043,True,False,True
RxnB_20190329_1554061928,RxnB_20190329,38.81053821739148,250.29153674516752,0.014262390594883899,0.16636571386250443,0.009596245939055538,20.831258845915386,0.13852052491200528,6.48757242978347,0.944681036892928,False,False,True
RxnB_20190329_1554066952,RxnB_20190329,22.479410474026256,220.28956165230701,0.2816143541294847,0.06074419874415594,0.26010043606913535,,,,,False,False,False
RxnB_20190329_1554071128,RxnB_20190329,46.87254496923831,267.51587830896005,0.03569656669029299,0.19432205543400033,0.1490879812893047,,,,,False,False,False
RxnB_20190329_1554074813,RxnB_20190329,33.51661174964205,309.7916631515848,0.03028926877857773,0.20036637903086188,0.2830042351812779,25.93583580691773,0.23702717869242396,26.15906221499303,0.46985836555608407,True,False,True
