,experiment_id,sample_id,system_class,system_class_xval,diffuse_binary,disordered_binary,crystalline_binary,diffuse_binary_xval,diffuse_binary_pr,disordered_binary_xval,disordered_binary_pr,crystalline_binary_xval,crystalline_binary_pr
356,RxnA_201602,RxnA_201602_1455306529,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
363,RxnA_201602,RxnA_201602_1455306503,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
385,RxnA_201602,RxnA_201602_1455306450,diffuse__diffuse__crystalline,diffuse__diffuse,True,False,True,True,True,False,False,False,False
386,RxnA_201602,RxnA_201602_1455306562,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
405,RxnA_201602,RxnA_201602_1455306471,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,True,True,False,False,True,True
414,RxnA_201602,RxnA_201602_1455306611,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
415,RxnA_201602,RxnA_201602_1455306590,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
201,RxnA_201902,RxnA_201902_1549445840,diffuse,diffuse,True,False,False,True,True,False,False,False,False
202,RxnA_201902,RxnA_201902_1549440789,diffuse,diffuse,True,False,False,True,True,False,False,False,False
205,RxnA_201902,RxnA_201902_1549447445,diffuse,diffuse,True,False,False,True,True,False,False,False,False
207,RxnA_201902,RxnA_201902_1549435756,diffuse,diffuse,True,False,False,True,True,False,False,False,False
204,RxnA_201902,RxnA_201902_1549444560,diffuse__diffuse__disordered,diffuse__diffuse__disordered,True,True,False,True,True,False,True,False,False
208,RxnA_201902,RxnA_201902_1549452117,diffuse__diffuse__disordered,diffuse__diffuse__disordered,True,True,False,True,True,False,True,False,False
203,RxnA_201902,RxnA_201902_1549442016,unidentified,unidentified,False,False,False,True,False,False,False,False,False
206,RxnA_201902,RxnA_201902_1549438373,unidentified,unidentified,False,False,False,False,False,False,False,False,False
265,RxnA_201903,RxnA_201903_1552022506,diffuse,diffuse,True,False,False,True,True,False,False,False,False
270,RxnA_201903,RxnA_201903_1552000907,diffuse,diffuse,True,False,False,True,True,False,False,False,False
272,RxnA_201903,RxnA_201903_1552003089,diffuse,diffuse,True,False,False,True,True,False,False,False,False
273,RxnA_201903,RxnA_201903_1552030715,diffuse,diffuse,True,False,False,True,True,False,False,False,False
261,RxnA_201903,RxnA_201903_1552019286,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
262,RxnA_201903,RxnA_201903_1552011934,diffuse__diffuse,diffuse,True,False,False,True,True,False,False,False,False
263,RxnA_201903,RxnA_201903_1552051812,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
264,RxnA_201903,RxnA_201903_1552009224,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
266,RxnA_201903,RxnA_201903_1552055246,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,True,False,False,False
267,RxnA_201903,RxnA_201903_1552041938,diffuse__diffuse,diffuse,True,False,False,True,True,False,False,False,False
268,RxnA_201903,RxnA_201903_1552044436,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
269,RxnA_201903,RxnA_201903_1552035028,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
274,RxnA_201903,RxnA_201903_1552060346,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
271,RxnA_201903,RxnA_201903_1552062755,diffuse__diffuse__disordered,diffuse__diffuse__disordered,True,True,False,True,True,True,True,False,False
3,RxnA_20190329,RxnA_20190329_1553924441,diffuse,diffuse,True,False,False,True,True,False,False,False,False
5,RxnA_20190329,RxnA_20190329_1553935658,diffuse,diffuse,True,False,False,True,True,False,False,False,False
2,RxnA_20190329,RxnA_20190329_1553920203,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
4,RxnA_20190329,RxnA_20190329_1553927416,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
7,RxnA_20190329,RxnA_20190329_1553910652,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
9,RxnA_20190329,RxnA_20190329_1553980333,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
11,RxnA_20190329,RxnA_20190329_1553970200,diffuse__diffuse,diffuse,True,False,False,True,True,False,False,False,False
0,RxnA_20190329,RxnA_20190329_1553957565,unidentified,unidentified,False,False,False,False,False,False,False,False,False
1,RxnA_20190329,RxnA_20190329_1553931522,unidentified,unidentified,False,False,False,False,False,False,False,False,False
6,RxnA_20190329,RxnA_20190329_1553914977,unidentified,unidentified,False,False,False,False,False,False,False,False,False
8,RxnA_20190329,RxnA_20190329_1553941420,unidentified,unidentified,False,False,False,False,False,False,False,False,False
10,RxnA_20190329,RxnA_20190329_1553975313,unidentified,unidentified,False,False,False,False,False,False,False,False,False
12,RxnA_20190329,RxnA_20190329_1553983571,unidentified,unidentified,False,False,False,False,False,False,False,False,False
1641,RxnB_201602,RxnB_201602_1455321989,crystalline,crystalline,False,False,True,True,False,False,False,True,True
1644,RxnB_201602,RxnB_201602_1455322109,crystalline,crystalline,False,False,True,True,False,False,False,True,True
1661,RxnB_201602,RxnB_201602_1455322169,crystalline,crystalline,False,False,True,True,False,False,False,True,True
1665,RxnB_201602,RxnB_201602_1455321930,crystalline,crystalline,False,False,True,True,False,False,False,True,True
1700,RxnB_201602,RxnB_201602_1455322062,crystalline,crystalline,False,False,True,True,False,False,False,True,True
1649,RxnB_201602,RxnB_201602_1455320521,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1687,RxnB_201602,RxnB_201602_1455320499,diffuse,diffuse,True,False,False,True,True,False,False,False,False
